Topic,Name,Type,Url,External ID,Description
Snowlfake,Snowflake 1.0 | LR | Data Dictionary 2,Tutorial,https://docs.snowflake.com/en/sql-reference/functions/automatic_clustering_history.html,Snowflake 1.0 | LR | Data Dictionary 2,
Snowlfake,Snowflake 1.0 | LR | Data Dictionary 3,Tutorial,https://docs.snowflake.com/en/sql-reference/functions/copy_history.html,Snowflake 1.0 | LR | Data Dictionary 3,
Snowlfake,Snowflake 1.0 | LR | Data Dictionary 4,Tutorial,https://docs.snowflake.com/en/sql-reference/functions/data_transfer_history.html,Snowflake 1.0 | LR | Data Dictionary 4,
Snowlfake,Snowflake 1.0 | LR | Data Dictionary 5,Tutorial,https://docs.snowflake.com/en/sql-reference/functions/login_history.html,Snowflake 1.0 | LR | Data Dictionary 5,
Snowlfake,Snowflake 1.0 | LR | Data Dictionary 6,Tutorial,https://docs.snowflake.com/en/sql-reference/functions/materialized_view_refresh_history.html,Snowflake 1.0 | LR | Data Dictionary 6,
Snowlfake,Snowflake 1.0 | LR | Data Dictionary 7,Tutorial,https://docs.snowflake.com/en/sql-reference/functions/pipe_usage_history.html,Snowflake 1.0 | LR | Data Dictionary 7,
Snowlfake,Snowflake 1.0 | LR | Data Dictionary 8,Tutorial,https://docs.snowflake.com/en/sql-reference/functions/query_history.html,Snowflake 1.0 | LR | Data Dictionary 8,
Snowlfake,Snowflake 1.0 | LR | Data Dictionary 9,Tutorial,https://docs.snowflake.com/en/sql-reference/functions/task_history.html,Snowflake 1.0 | LR | Data Dictionary 9,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Bulk] 1,Tutorial,https://docs.snowflake.com/en/user-guide-data-load.html,Snowflake 1.0 | LR | Data Loading [Bulk] 1,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Bulk] 2,Tutorial,https://docs.snowflake.com/en/user-guide/data-load-external-tutorial.html,Snowflake 1.0 | LR | Data Loading [Bulk] 2,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Bulk] 3,Tutorial,https://docs.snowflake.com/en/user-guide/data-load-external-tutorial-create-file-format.html,Snowflake 1.0 | LR | Data Loading [Bulk] 3,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Bulk] 4,Tutorial,https://docs.snowflake.com/en/user-guide/data-load-external-tutorial-create-stage.html,Snowflake 1.0 | LR | Data Loading [Bulk] 4,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Bulk] 5,Tutorial,https://docs.snowflake.com/en/user-guide/data-load-external-tutorial-copy-into.html,Snowflake 1.0 | LR | Data Loading [Bulk] 5,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Bulk] 6,Tutorial,https://docs.snowflake.com/en/user-guide/data-load-external-tutorial-resolve.html,Snowflake 1.0 | LR | Data Loading [Bulk] 6,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Bulk] 7,Tutorial,https://docs.snowflake.com/en/user-guide/data-load-external-tutorial-verify.html,Snowflake 1.0 | LR | Data Loading [Bulk] 7,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Bulk] 8,Tutorial,https://docs.snowflake.com/en/user-guide/script-data-load-transform-json.html,Snowflake 1.0 | LR | Data Loading [Bulk] 8,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Bulk] 9,Tutorial,https://docs.snowflake.com/en/user-guide/script-data-load-transform-parquet.html,Snowflake 1.0 | LR | Data Loading [Bulk] 9,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Continous] 1,Video,https://www.youtube.com/watch?v=rwZWmcy0aBU,Snowflake 1.0 | LR | Data Loading [Continous] 1,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Continous] 2,Tutorial,https://docs.snowflake.com/en/user-guide/data-load-snowpipe-intro.html,Snowflake 1.0 | LR | Data Loading [Continous] 2,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Continous] 3,Tutorial,https://docs.snowflake.com/en/user-guide/data-load-snowpipe-billing.html,Snowflake 1.0 | LR | Data Loading [Continous] 3,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Continous] 4,Tutorial,https://docs.snowflake.com/en/user-guide/data-load-snowpipe-auto.html,Snowflake 1.0 | LR | Data Loading [Continous] 4,
